[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.277390	0.099833	0.011792	-0.010333	3.254703	0.258830	0.213517	0.228059	0.202741	0.217210	0.203146	0.210127	0.194001	0.210428	0.208817	0.208038	0.201784	0.201077	0.194387	0.203951	0.203903	0.196456	0.227059	0.301290	0.339052	0.080095	0.181788	0.029352
0.292033	0.099750	0.011750	-0.010333	3.254949	0.258952	0.213469	0.228128	0.202687	0.217285	0.203144	0.210132	0.194007	0.210426	0.208815	0.208030	0.201783	0.201075	0.194388	0.203951	0.203905	0.196461	0.227069	0.301293	0.339098	0.080098	0.181782	0.029378
0.306277	0.099833	0.011875	-0.010333	3.255186	0.259312	0.213655	0.228214	0.202666	0.217378	0.203132	0.210143	0.194016	0.210426	0.208811	0.208026	0.201784	0.201072	0.194390	0.203954	0.203910	0.196471	0.227070	0.301282	0.339110	0.080099	0.181776	0.029399
0.321181	0.099708	0.011958	-0.010333	3.254825	0.259905	0.213681	0.228278	0.202627	0.217401	0.203119	0.210151	0.194023	0.210423	0.208808	0.208024	0.201788	0.201070	0.194392	0.203956	0.203913	0.196471	0.227059	0.301265	0.339103	0.080099	0.181769	0.029419
0.335644	0.099917	0.011833	-0.010417	3.254083	0.259761	0.213479	0.228282	0.202580	0.217357	0.203119	0.210146	0.194026	0.210419	0.208807	0.208024	0.201790	0.201068	0.194391	0.203957	0.203913	0.196469	0.227046	0.301234	0.339067	0.080099	0.181763	0.029438
0.350073	0.099833	0.011875	-0.010417	3.253679	0.259401	0.213379	0.228260	0.202586	0.217314	0.203127	0.210134	0.194027	0.210412	0.208806	0.208023	0.201787	0.201066	0.194390	0.203958	0.203912	0.196465	0.227036	0.301201	0.339025	0.080097	0.181757	0.029454
0.364777	0.099833	0.011750	-0.010500	3.254461	0.259268	0.213411	0.228284	0.202728	0.217301	0.203136	0.210122	0.194025	0.210407	0.208805	0.208023	0.201786	0.201064	0.194389	0.203960	0.203912	0.196462	0.227035	0.301183	0.339041	0.080095	0.181754	0.029468
0.379250	0.099958	0.011917	-0.010417	3.254950	0.259004	0.213294	0.228151	0.202787	0.217270	0.203130	0.210111	0.194019	0.210404	0.208801	0.208021	0.201783	0.201061	0.194390	0.203963	0.203912	0.196456	0.227036	0.301169	0.339063	0.080094	0.181753	0.029475
0.393904	0.099917	0.011708	-0.010500	3.254682	0.258667	0.213057	0.227876	0.202774	0.217253	0.203130	0.210113	0.194022	0.210414	0.208804	0.208019	0.201784	0.201062	0.194394	0.203967	0.203908	0.196451	0.227040	0.301160	0.339045	0.080093	0.181755	0.029471
0.408390	0.099875	0.011792	-0.010667	3.254284	0.258430	0.212967	0.227646	0.202763	0.217251	0.203138	0.210120	0.194031	0.210431	0.208819	0.208019	0.201788	0.201061	0.194402	0.203976	0.203906	0.196445	0.227045	0.301179	0.338990	0.080092	0.181758	0.029459
