[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.255573	0.098667	0.011167	0.018917	3.222537	0.255109	0.212586	0.227652	0.202665	0.217407	0.203174	0.210145	0.194023	0.210424	0.208805	0.208035	0.201785	0.201039	0.194394	0.203945	0.203881	0.196399	0.225651	0.304065	0.335674	0.079399	0.177082	0.034907
0.270588	0.098333	0.011000	0.018667	3.222852	0.255190	0.212479	0.227621	0.202697	0.217435	0.203184	0.210150	0.194030	0.210433	0.208808	0.208046	0.201785	0.201041	0.194396	0.203948	0.203882	0.196403	0.225659	0.304058	0.335675	0.079402	0.177088	0.034886
0.284954	0.098583	0.011000	0.019292	3.222272	0.255012	0.212303	0.227516	0.202681	0.217411	0.203191	0.210144	0.194031	0.210427	0.208806	0.208049	0.201782	0.201043	0.194395	0.203948	0.203883	0.196404	0.225667	0.304046	0.335630	0.079403	0.177094	0.034866
0.299385	0.098458	0.011167	0.019500	3.221529	0.254947	0.212251	0.227467	0.202666	0.217411	0.203198	0.210137	0.194028	0.210420	0.208801	0.208044	0.201779	0.201044	0.194393	0.203948	0.203883	0.196407	0.225669	0.304030	0.335599	0.079404	0.177100	0.034849
0.314138	0.098625	0.011000	0.019333	3.221576	0.255253	0.212418	0.227592	0.202682	0.217428	0.203218	0.210153	0.194030	0.210424	0.208799	0.208044	0.201779	0.201045	0.194394	0.203951	0.203884	0.196415	0.225673	0.304016	0.335631	0.079405	0.177105	0.034841
0.328569	0.098667	0.011083	0.019167	3.222105	0.255357	0.212487	0.227620	0.202744	0.217419	0.203236	0.210160	0.194034	0.210427	0.208797	0.208045	0.201782	0.201045	0.194393	0.203953	0.203884	0.196416	0.225677	0.304007	0.335691	0.079406	0.177106	0.034841
0.343258	0.098500	0.011167	0.019042	3.222385	0.255413	0.212431	0.227549	0.202802	0.217372	0.203257	0.210156	0.194036	0.210422	0.208797	0.208045	0.201786	0.201044	0.194392	0.203950	0.203886	0.196412	0.225681	0.304016	0.335726	0.079407	0.177104	0.034848
0.357690	0.098500	0.011083	0.018792	3.222337	0.255680	0.212313	0.227534	0.202806	0.217312	0.203267	0.210145	0.194032	0.210415	0.208796	0.208042	0.201789	0.201043	0.194392	0.203945	0.203887	0.196411	0.225692	0.304048	0.335740	0.079407	0.177101	0.034861
0.372248	0.098500	0.011083	0.019667	3.222224	0.256274	0.212245	0.227691	0.202744	0.217254	0.203267	0.210137	0.194027	0.210409	0.208795	0.208039	0.201790	0.201043	0.194394	0.203946	0.203888	0.196417	0.225705	0.304099	0.335752	0.079406	0.177098	0.034877
0.387035	0.098667	0.011083	0.019833	3.222055	0.256764	0.212096	0.227740	0.202679	0.217204	0.203252	0.210132	0.194022	0.210403	0.208793	0.208037	0.201790	0.201042	0.194395	0.203953	0.203885	0.196423	0.225710	0.304135	0.335768	0.079404	0.177091	0.034895
