[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.530121	0.073917	0.014450	0.017683	5.202210	0.278650	0.215404	0.233222	0.203649	0.220017	0.204492	0.211731	0.195386	0.211787	0.209705	0.208970	0.202770	0.202140	0.195794	0.205484	0.205541	0.199630	0.234931	0.333150	0.420273	0.082498	0.172335	0.020934	2.059969	13.363800	35.000000	97.745941
0.566573	0.073700	0.014433	0.017683	5.210403	0.279298	0.216236	0.233384	0.203815	0.220065	0.204523	0.211745	0.195403	0.211794	0.209711	0.208974	0.202778	0.202152	0.195805	0.205501	0.205553	0.199688	0.235015	0.333427	0.420677	0.082501	0.172195	0.022036	2.059973	13.439700	35.000000	97.735771
0.602882	0.073717	0.014533	0.017733	5.236485	0.289289	0.219925	0.235881	0.204607	0.220491	0.204759	0.211871	0.195497	0.211855	0.209776	0.209018	0.202830	0.202211	0.195866	0.205582	0.205640	0.199974	0.235399	0.334562	0.423524	0.082503	0.172076	0.022895	2.059976	13.496899	35.000000	97.764229
0.639372	0.073633	0.014500	0.017733	5.247755	0.301747	0.224583	0.238729	0.205362	0.220786	0.204872	0.211961	0.195561	0.211897	0.209782	0.209038	0.202844	0.202237	0.195892	0.205613	0.205670	0.200073	0.235608	0.335152	0.424533	0.082505	0.171976	0.023582	2.059978	13.555500	35.000000	97.756081
0.675643	0.073400	0.014500	0.018067	5.253706	0.304005	0.230678	0.239343	0.205945	0.220882	0.204933	0.211996	0.195569	0.211930	0.209797	0.209041	0.202847	0.202238	0.195898	0.205629	0.205690	0.200179	0.235837	0.335801	0.425088	0.082510	0.171893	0.024118	2.059979	13.603500	35.000000	97.723564
0.712237	0.073333	0.014417	0.018233	5.258372	0.306766	0.235981	0.240565	0.206143	0.220931	0.204970	0.212056	0.195559	0.211958	0.209796	0.209044	0.202851	0.202240	0.195913	0.205661	0.205705	0.200244	0.235882	0.335948	0.425760	0.082518	0.171818	0.024554	2.059979	13.633901	35.000000	97.741867
0.748508	0.073350	0.014433	0.018283	5.263454	0.308643	0.234614	0.240829	0.206359	0.221061	0.204968	0.212029	0.195536	0.211937	0.209789	0.209047	0.202846	0.202229	0.195909	0.205653	0.205726	0.200225	0.235817	0.335677	0.425574	0.082527	0.171754	0.024893	2.059979	13.660700	35.000000	97.727638
0.784933	0.073350	0.014483	0.018383	5.257043	0.304268	0.233431	0.240561	0.206151	0.220867	0.204899	0.211967	0.195516	0.211906	0.209774	0.209036	0.202831	0.202214	0.195893	0.205625	0.205694	0.200143	0.235718	0.335470	0.424871	0.082531	0.171698	0.025156	2.059980	13.687401	34.997501	97.729652
0.821295	0.073250	0.014333	0.018567	5.243839	0.299354	0.229475	0.239033	0.205621	0.220714	0.204816	0.211917	0.195497	0.211880	0.209764	0.209028	0.202824	0.202201	0.195884	0.205600	0.205672	0.200071	0.235660	0.335167	0.424516	0.082531	0.171650	0.025363	2.059982	13.702699	35.000000	97.737801
0.857773	0.073267	0.014417	0.018450	5.234498	0.296708	0.226532	0.237969	0.205342	0.220633	0.204768	0.211884	0.195482	0.211865	0.209758	0.209019	0.202819	0.202196	0.195873	0.205581	0.205656	0.200061	0.235629	0.335066	0.424183	0.082527	0.171612	0.025519	2.059984	13.722400	35.000000	97.764221
0.894159	0.073350	0.014450	0.018417	5.233500	0.296625	0.225894	0.237944	0.205342	0.220610	0.204756	0.211879	0.195482	0.211865	0.209758	0.209019	0.202819	0.202196	0.195869	0.205575	0.205655	0.200044	0.235629	0.334920	0.423935	0.082526	0.171580	0.025635	2.059986	13.750998	35.000000	97.745934
0.930508	0.073217	0.014417	0.018383	5.231331	0.295731	0.224854	0.238645	0.205554	0.220529	0.204731	0.211869	0.195495	0.211881	0.209759	0.209025	0.202820	0.202197	0.195866	0.205577	0.205657	0.200028	0.235592	0.334792	0.423432	0.082528	0.171553	0.025711	2.059985	13.760700	35.000000	97.731697
0.966947	0.073250	0.014433	0.018300	5.229210	0.294716	0.224141	0.238233	0.205485	0.220529	0.204730	0.211869	0.195497	0.211881	0.209759	0.209031	0.202820	0.202198	0.195867	0.205580	0.205671	0.200005	0.235538	0.334641	0.423061	0.082531	0.171538	0.025766	2.059983	13.769601	35.000000	97.741859
1.003308	0.073233	0.014417	0.018250	5.229234	0.293105	0.223551	0.237942	0.205667	0.220684	0.204788	0.211906	0.195513	0.211907	0.209776	0.209038	0.202829	0.202212	0.195876	0.205581	0.205677	0.200003	0.235509	0.334616	0.423019	0.082533	0.171528	0.025814	2.059982	13.778098	35.000000	97.756081
1.039761	0.073333	0.014467	0.018233	5.232117	0.292629	0.223551	0.237990	0.205669	0.220739	0.204803	0.211911	0.195530	0.211922	0.209775	0.209035	0.202823	0.202211	0.195881	0.205597	0.205674	0.200031	0.235497	0.334613	0.423065	0.082533	0.171518	0.025850	2.059980	13.785297	35.000000	97.747986
1.076056	0.073317	0.014367	0.018233	5.234584	0.292310	0.223371	0.238636	0.205407	0.221205	0.204809	0.211897	0.195518	0.211906	0.209767	0.209033	0.202823	0.202203	0.195881	0.205592	0.205680	0.200050	0.235509	0.334619	0.423323	0.082534	0.171510	0.025856	2.059979	13.790000	35.000000	97.725609
1.112598	0.073267	0.014467	0.018250	5.234686	0.291792	0.223442	0.238472	0.205382	0.221193	0.204799	0.211895	0.195503	0.211888	0.209764	0.209032	0.202821	0.202200	0.195881	0.205588	0.205685	0.200068	0.235559	0.334780	0.423584	0.082537	0.171506	0.025761	2.059978	13.793601	35.000000	97.743889
1.148869	0.073350	0.014500	0.018200	5.241831	0.301306	0.227388	0.243995	0.205908	0.221958	0.204835	0.211891	0.195496	0.211883	0.209762	0.209032	0.202821	0.202195	0.195888	0.205593	0.205726	0.200183	0.235841	0.335337	0.424623	0.082546	0.171506	0.025425	2.059979	13.808800	35.000000	97.713417
1.185438	0.073517	0.014450	0.018250	5.254584	0.306888	0.229635	0.244346	0.206928	0.222034	0.204865	0.211902	0.195502	0.211893	0.209766	0.209036	0.202826	0.202192	0.195892	0.205607	0.205774	0.200328	0.235953	0.335605	0.424905	0.082555	0.171516	0.024708	2.059980	13.807200	35.000000	97.733734
