[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.487769	0.096667	0.014958	0.092792	3.743436	0.242819	0.207938	0.220609	0.201240	0.215788	0.202836	0.209851	0.193934	0.210276	0.208682	0.207966	0.201701	0.200983	0.194357	0.203891	0.203824	0.196380	0.223949	0.309259	0.316186	0.083238	0.076515	0.037087
0.502260	0.096625	0.014875	0.092917	3.743211	0.242821	0.207937	0.220606	0.201239	0.215788	0.202836	0.209852	0.193933	0.210274	0.208681	0.207966	0.201700	0.200983	0.194357	0.203892	0.203824	0.196379	0.223948	0.309259	0.316186	0.083238	0.076515	0.037130
0.516921	0.096625	0.014917	0.093167	3.743081	0.242822	0.207935	0.220605	0.201239	0.215787	0.202836	0.209853	0.193932	0.210273	0.208680	0.207966	0.201700	0.200983	0.194358	0.203893	0.203824	0.196379	0.223947	0.309258	0.316185	0.083239	0.076516	0.037196
0.531381	0.096667	0.014958	0.093125	3.742981	0.242821	0.207933	0.220605	0.201238	0.215787	0.202836	0.209854	0.193931	0.210273	0.208680	0.207964	0.201700	0.200982	0.194358	0.203894	0.203824	0.196379	0.223947	0.309258	0.316181	0.083239	0.076517	0.037268
0.546073	0.096750	0.015000	0.093583	3.742865	0.242818	0.207933	0.220606	0.201238	0.215787	0.202835	0.209854	0.193931	0.210272	0.208679	0.207963	0.201700	0.200981	0.194359	0.203893	0.203825	0.196378	0.223946	0.309258	0.316176	0.083238	0.076517	0.037331
0.560535	0.096625	0.014917	0.093583	3.742769	0.242816	0.207933	0.220605	0.201238	0.215788	0.202835	0.209854	0.193930	0.210272	0.208680	0.207961	0.201700	0.200980	0.194359	0.203892	0.203825	0.196376	0.223945	0.309261	0.316173	0.083238	0.076517	0.037369
0.575060	0.096583	0.014875	0.093333	3.742716	0.242816	0.207933	0.220604	0.201237	0.215788	0.202835	0.209854	0.193931	0.210273	0.208682	0.207961	0.201700	0.200979	0.194359	0.203891	0.203825	0.196375	0.223945	0.309264	0.316173	0.083238	0.076518	0.037396
0.589850	0.096542	0.014917	0.093292	3.742692	0.242818	0.207934	0.220603	0.201237	0.215789	0.202835	0.209855	0.193931	0.210274	0.208683	0.207961	0.201700	0.200979	0.194359	0.203891	0.203824	0.196373	0.223946	0.309266	0.316174	0.083240	0.076518	0.037413
0.604085	0.096667	0.014917	0.093083	3.742681	0.242821	0.207935	0.220603	0.201236	0.215791	0.202835	0.209856	0.193932	0.210275	0.208685	0.207961	0.201700	0.200981	0.194359	0.203891	0.203823	0.196373	0.223945	0.309268	0.316178	0.083244	0.076520	0.037420
0.632685	0.096708	0.014958	0.093167	3.742682	0.242822	0.207939	0.220604	0.201236	0.215790	0.202835	0.209856	0.193933	0.210276	0.208689	0.207963	0.201701	0.200984	0.194361	0.203891	0.203823	0.196372	0.223944	0.309272	0.316183	0.083244	0.076520	0.037415
0.651435	0.096667	0.015000	0.093250	3.742705	0.242822	0.207942	0.220606	0.201236	0.215789	0.202835	0.209857	0.193934	0.210276	0.208690	0.207963	0.201702	0.200986	0.194362	0.203891	0.203824	0.196372	0.223945	0.309274	0.316184	0.083243	0.076520	0.037402
0.666160	0.096667	0.015042	0.093250	3.742764	0.242822	0.207943	0.220606	0.201236	0.215789	0.202834	0.209859	0.193935	0.210276	0.208691	0.207964	0.201701	0.200988	0.194362	0.203889	0.203825	0.196373	0.223946	0.309275	0.316185	0.083242	0.076520	0.037386
0.680817	0.096792	0.014917	0.093333	3.742862	0.242822	0.207943	0.220605	0.201236	0.215790	0.202833	0.209860	0.193935	0.210276	0.208692	0.207964	0.201700	0.200990	0.194361	0.203888	0.203826	0.196373	0.223947	0.309277	0.316187	0.083241	0.076519	0.037365
0.694985	0.096708	0.014958	0.093417	3.742965	0.242823	0.207943	0.220605	0.201236	0.215792	0.202833	0.209859	0.193935	0.210276	0.208693	0.207963	0.201700	0.200992	0.194361	0.203887	0.203826	0.196374	0.223947	0.309279	0.316188	0.083239	0.076518	0.037345
0.709969	0.096542	0.014917	0.093417	3.743069	0.242826	0.207943	0.220605	0.201236	0.215794	0.202833	0.209859	0.193934	0.210276	0.208693	0.207963	0.201699	0.200994	0.194361	0.203887	0.203826	0.196374	0.223947	0.309283	0.316189	0.083237	0.076517	0.037322
0.724369	0.096667	0.014917	0.093583	3.743145	0.242830	0.207942	0.220604	0.201236	0.215794	0.202832	0.209859	0.193933	0.210275	0.208693	0.207961	0.201698	0.200994	0.194362	0.203888	0.203825	0.196373	0.223946	0.309284	0.316191	0.083236	0.076516	0.037300
0.738827	0.096583	0.015042	0.093417	3.743209	0.242833	0.207942	0.220603	0.201236	0.215794	0.202832	0.209859	0.193933	0.210276	0.208694	0.207960	0.201697	0.200993	0.194362	0.203888	0.203825	0.196372	0.223945	0.309283	0.316192	0.083235	0.076515	0.037276
0.753585	0.096542	0.014958	0.093250	3.743264	0.242835	0.207940	0.220604	0.201237	0.215794	0.202833	0.209858	0.193933	0.210278	0.208694	0.207959	0.201697	0.200992	0.194361	0.203890	0.203824	0.196371	0.223944	0.309282	0.316190	0.083235	0.076514	0.037253
0.767979	0.096750	0.014917	0.093083	3.743305	0.242837	0.207938	0.220606	0.201239	0.215793	0.202833	0.209857	0.193933	0.210280	0.208694	0.207960	0.201697	0.200990	0.194361	0.203891	0.203823	0.196371	0.223944	0.309282	0.316188	0.083235	0.076512	0.037231
0.782673	0.096583	0.014875	0.093083	3.743316	0.242838	0.207936	0.220608	0.201239	0.215793	0.202833	0.209856	0.193933	0.210281	0.208695	0.207961	0.201698	0.200988	0.194361	0.203891	0.203823	0.196371	0.223944	0.309283	0.316187	0.083234	0.076511	0.037206
