[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.443400	0.101833	0.014417	0.066750	3.328502	0.316638	0.266390	0.265796	0.222767	0.228926	0.206444	0.212298	0.195344	0.211463	0.209641	0.208629	0.202243	0.201573	0.194889	0.204671	0.204785	0.198410	0.228911	0.311769	0.346607	0.082327	0.186304	0.029478
0.458188	0.101833	0.014375	0.069250	3.332970	0.318842	0.269104	0.267897	0.222868	0.229104	0.206570	0.212451	0.195360	0.211501	0.209646	0.208635	0.202255	0.201580	0.194916	0.204684	0.204808	0.198469	0.229010	0.311881	0.346853	0.082332	0.186277	0.029633
0.472748	0.101667	0.014333	0.071417	3.335285	0.319991	0.269917	0.269401	0.222836	0.229074	0.206675	0.212529	0.195374	0.211526	0.209642	0.208637	0.202261	0.201575	0.194927	0.204697	0.204820	0.198499	0.229066	0.312001	0.347007	0.082337	0.186250	0.029775
0.487015	0.101792	0.014375	0.073208	3.336812	0.320493	0.271581	0.270622	0.223349	0.229117	0.206757	0.212548	0.195379	0.211547	0.209640	0.208641	0.202273	0.201568	0.194930	0.204711	0.204819	0.198498	0.229091	0.312168	0.347132	0.082340	0.186219	0.029911
0.501969	0.101750	0.014417	0.074333	3.338676	0.320787	0.272445	0.271206	0.224061	0.229301	0.206789	0.212607	0.195387	0.211568	0.209623	0.208650	0.202286	0.201564	0.194935	0.204717	0.204824	0.198486	0.229097	0.312294	0.347156	0.082343	0.186183	0.030054
0.516362	0.101750	0.014333	0.075792	3.340693	0.319605	0.271521	0.270474	0.223569	0.229295	0.206687	0.212592	0.195372	0.211556	0.209602	0.208644	0.202294	0.201553	0.194934	0.204700	0.204818	0.198448	0.229054	0.312269	0.346999	0.082346	0.186149	0.030189
0.530858	0.101625	0.014333	0.075042	3.342961	0.318014	0.270124	0.268782	0.222426	0.229050	0.206510	0.212528	0.195348	0.211528	0.209586	0.208625	0.202289	0.201536	0.194927	0.204679	0.204806	0.198411	0.228989	0.312144	0.346743	0.082348	0.186117	0.030312
0.545548	0.101750	0.014333	0.074083	3.341880	0.316423	0.268806	0.267151	0.221335	0.228607	0.206336	0.212468	0.195317	0.211505	0.209577	0.208614	0.202275	0.201527	0.194919	0.204670	0.204798	0.198377	0.228951	0.312025	0.346521	0.082352	0.186085	0.030436
0.559979	0.101750	0.014167	0.073083	3.340019	0.315786	0.267302	0.266094	0.220388	0.228051	0.206213	0.212428	0.195294	0.211485	0.209576	0.208620	0.202264	0.201527	0.194916	0.204673	0.204809	0.198349	0.228923	0.311904	0.346455	0.082356	0.186055	0.030553
0.574606	0.101583	0.014375	0.072750	3.338479	0.315325	0.265520	0.265843	0.219942	0.227606	0.206144	0.212466	0.195293	0.211466	0.209581	0.208628	0.202263	0.201521	0.194915	0.204667	0.204818	0.198317	0.228883	0.311792	0.346340	0.082361	0.186025	0.030673
0.589131	0.101667	0.014292	0.072208	3.340097	0.315481	0.265313	0.265574	0.219871	0.227436	0.206074	0.212528	0.195325	0.211451	0.209589	0.208629	0.202261	0.201514	0.194912	0.204657	0.204816	0.198305	0.228827	0.311703	0.346183	0.082366	0.185996	0.030780
0.603594	0.101625	0.014250	0.070667	3.341247	0.315148	0.265649	0.264888	0.219712	0.227283	0.206003	0.212503	0.195318	0.211435	0.209579	0.208622	0.202253	0.201510	0.194899	0.204638	0.204798	0.198288	0.228763	0.311583	0.345897	0.082371	0.185968	0.030881
0.618446	0.101667	0.014333	0.068917	3.337400	0.314132	0.264554	0.263304	0.218998	0.226928	0.205905	0.212360	0.195254	0.211398	0.209544	0.208600	0.202241	0.201508	0.194878	0.204611	0.204766	0.198227	0.228675	0.311365	0.345497	0.082375	0.185938	0.030991
0.632712	0.101625	0.014292	0.068042	3.332860	0.312434	0.262223	0.261942	0.218496	0.226525	0.205802	0.212228	0.195200	0.211359	0.209515	0.208580	0.202228	0.201496	0.194858	0.204588	0.204740	0.198154	0.228613	0.311141	0.345158	0.082379	0.185914	0.031082
0.647373	0.101667	0.014250	0.067583	3.328338	0.310388	0.260579	0.260321	0.218043	0.226037	0.205687	0.212105	0.195150	0.211328	0.209492	0.208563	0.202213	0.201477	0.194840	0.204567	0.204714	0.198092	0.228555	0.310932	0.344815	0.082382	0.185891	0.031178
0.662027	0.101542	0.014375	0.065625	3.322975	0.308494	0.259959	0.258435	0.217617	0.225496	0.205573	0.212015	0.195110	0.211336	0.209474	0.208554	0.202201	0.201462	0.194820	0.204542	0.204678	0.198036	0.228473	0.310748	0.344471	0.082385	0.185868	0.031269
