[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.632483	0.098833	0.011417	-0.010500	3.258821	0.261292	0.217231	0.229679	0.204163	0.217600	0.203272	0.210135	0.194003	0.210388	0.208808	0.208032	0.201765	0.201062	0.194387	0.203949	0.203892	0.196560	0.226570	0.305361	0.337852	0.079654	0.178366	0.042121
0.656531	0.098750	0.011333	-0.010500	3.257421	0.260920	0.217440	0.229863	0.204366	0.217677	0.203279	0.210136	0.194000	0.210395	0.208804	0.208028	0.201769	0.201062	0.194382	0.203954	0.203889	0.196553	0.226587	0.305374	0.337817	0.079651	0.178357	0.042184
0.679704	0.098792	0.011417	-0.010500	3.256145	0.260679	0.217458	0.229763	0.204444	0.217719	0.203282	0.210145	0.194004	0.210396	0.208802	0.208026	0.201776	0.201060	0.194381	0.203956	0.203888	0.196544	0.226585	0.305379	0.337790	0.079651	0.178348	0.042226
0.694558	0.098667	0.011500	-0.010333	3.256211	0.261047	0.217637	0.229689	0.204403	0.217664	0.203277	0.210147	0.194013	0.210394	0.208810	0.208027	0.201780	0.201059	0.194385	0.203957	0.203893	0.196549	0.226585	0.305383	0.337781	0.079652	0.178345	0.042241
0.708990	0.098750	0.011500	-0.010583	3.256517	0.261927	0.217792	0.229868	0.204246	0.217668	0.203272	0.210147	0.194017	0.210394	0.208811	0.208027	0.201779	0.201058	0.194388	0.203958	0.203900	0.196552	0.226591	0.305387	0.337768	0.079651	0.178345	0.042249
0.723610	0.098792	0.011375	-0.010500	3.256886	0.262627	0.217889	0.230033	0.204059	0.217720	0.203265	0.210149	0.194018	0.210394	0.208805	0.208025	0.201776	0.201060	0.194388	0.203959	0.203904	0.196549	0.226591	0.305382	0.337751	0.079649	0.178347	0.042253
0.738042	0.098875	0.011375	-0.010333	3.257938	0.263164	0.217965	0.230067	0.203943	0.217813	0.203261	0.210148	0.194020	0.210398	0.208803	0.208026	0.201776	0.201061	0.194386	0.203960	0.203909	0.196541	0.226595	0.305371	0.337757	0.079647	0.178351	0.042254
0.752635	0.098792	0.011167	-0.010500	3.259302	0.263461	0.218130	0.230027	0.203932	0.217878	0.203270	0.210155	0.194027	0.210411	0.208807	0.208030	0.201779	0.201062	0.194387	0.203964	0.203914	0.196532	0.226610	0.305370	0.337799	0.079645	0.178355	0.042253
0.767421	0.098833	0.011375	-0.010333	3.260821	0.263647	0.218410	0.230123	0.204062	0.217878	0.203294	0.210168	0.194036	0.210420	0.208815	0.208033	0.201782	0.201063	0.194388	0.203967	0.203917	0.196529	0.226626	0.305365	0.337836	0.079643	0.178358	0.042247
0.781692	0.098875	0.011417	-0.010417	3.261756	0.263499	0.218280	0.230077	0.204223	0.217888	0.203333	0.210182	0.194043	0.210424	0.208818	0.208041	0.201785	0.201070	0.194391	0.203969	0.203915	0.196535	0.226645	0.305353	0.337824	0.079643	0.178358	0.042239
0.796415	0.098833	0.011458	-0.010417	3.262441	0.263440	0.217817	0.230069	0.204248	0.217978	0.203361	0.210175	0.194044	0.210422	0.208817	0.208055	0.201785	0.201077	0.194395	0.203970	0.203913	0.196536	0.226671	0.305337	0.337782	0.079643	0.178356	0.042231
0.810973	0.098875	0.011333	-0.010417	3.262284	0.263124	0.217183	0.230189	0.204088	0.218115	0.203326	0.210161	0.194041	0.210418	0.208813	0.208058	0.201782	0.201076	0.194393	0.203968	0.203909	0.196526	0.226688	0.305314	0.337738	0.079644	0.178353	0.042220
0.825304	0.098833	0.011375	-0.010583	3.262283	0.262963	0.216844	0.230663	0.203974	0.218250	0.203294	0.210150	0.194041	0.210419	0.208811	0.208057	0.201780	0.201071	0.194388	0.203966	0.203905	0.196522	0.226690	0.305287	0.337745	0.079646	0.178350	0.042210
0.840192	0.098750	0.011417	-0.010500	3.262646	0.263357	0.216778	0.230958	0.203921	0.218365	0.203277	0.210149	0.194049	0.210428	0.208813	0.208058	0.201780	0.201068	0.194385	0.203966	0.203904	0.196521	0.226694	0.305282	0.337811	0.079648	0.178348	0.042200
0.854621	0.098833	0.011458	-0.010667	3.263303	0.263461	0.216915	0.230772	0.203852	0.218306	0.203257	0.210138	0.194050	0.210430	0.208812	0.208055	0.201779	0.201065	0.194387	0.203966	0.203900	0.196517	0.226685	0.305295	0.337875	0.079648	0.178346	0.042191
0.869081	0.098792	0.011333	-0.010583	3.264058	0.263024	0.217087	0.230504	0.203759	0.218185	0.203235	0.210122	0.194046	0.210428	0.208810	0.208048	0.201777	0.201061	0.194388	0.203962	0.203895	0.196513	0.226665	0.305308	0.337865	0.079648	0.178345	0.042182
0.883773	0.098875	0.011417	-0.010667	3.264464	0.262463	0.217354	0.230486	0.203707	0.218095	0.203226	0.210112	0.194042	0.210424	0.208810	0.208042	0.201775	0.201057	0.194390	0.203959	0.203893	0.196518	0.226647	0.305319	0.337832	0.079647	0.178344	0.042175
0.898300	0.098750	0.011458	-0.010417	3.263644	0.262381	0.217495	0.230840	0.203704	0.218052	0.203225	0.210112	0.194039	0.210423	0.208815	0.208041	0.201776	0.201057	0.194391	0.203958	0.203896	0.196529	0.226640	0.305342	0.337846	0.079647	0.178344	0.042168
