[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.082808	0.101000	0.014000	0.018000	4.326295	0.262627	0.213051	0.227707	0.203636	0.218828	0.204357	0.211647	0.195293	0.211706	0.209772	0.209041	0.202858	0.202256	0.195822	0.205474	0.205345	0.199497	0.231158	0.327103	0.370392	0.082086	0.182975	0.021574	2.059626	8.157000	35.000000	97.723579
0.086317	0.100667	0.013667	0.018000	4.326291	0.262627	0.213051	0.227707	0.203635	0.218828	0.204357	0.211647	0.195293	0.211706	0.209772	0.209041	0.202858	0.202256	0.195822	0.205474	0.205345	0.199497	0.231158	0.327103	0.370392	0.082086	0.182975	0.021574	2.059627	8.147000	35.000000	97.723579
0.089692	0.101000	0.013333	0.017833	4.326289	0.262626	0.213051	0.227707	0.203635	0.218828	0.204358	0.211647	0.195292	0.211706	0.209772	0.209041	0.202858	0.202256	0.195822	0.205474	0.205345	0.199497	0.231158	0.327103	0.370393	0.082087	0.182975	0.021574	2.059627	8.153000	35.000000	97.723579
0.093342	0.101000	0.013667	0.017833	4.326286	0.262626	0.213051	0.227708	0.203635	0.218828	0.204358	0.211647	0.195292	0.211706	0.209772	0.209041	0.202858	0.202257	0.195822	0.205474	0.205345	0.199497	0.231158	0.327102	0.370393	0.082087	0.182975	0.021574	2.059628	8.159000	35.000000	97.723579
0.096842	0.100667	0.014167	0.017833	4.326277	0.262626	0.213051	0.227708	0.203635	0.218828	0.204358	0.211647	0.195292	0.211706	0.209772	0.209041	0.202858	0.202257	0.195822	0.205474	0.205345	0.199497	0.231158	0.327101	0.370393	0.082088	0.182975	0.021574	2.059628	8.151000	35.000000	97.743904
0.101142	0.100667	0.014000	0.017667	4.326272	0.262625	0.213051	0.227708	0.203634	0.218828	0.204359	0.211648	0.195292	0.211706	0.209772	0.209041	0.202858	0.202258	0.195822	0.205474	0.205345	0.199497	0.231158	0.327101	0.370395	0.082088	0.182975	0.021573	2.059629	8.148000	35.000000	97.723579
0.104775	0.100667	0.014000	0.018167	4.326262	0.262625	0.213051	0.227708	0.203634	0.218828	0.204359	0.211648	0.195292	0.211706	0.209771	0.209041	0.202858	0.202258	0.195822	0.205474	0.205345	0.199497	0.231158	0.327101	0.370395	0.082088	0.182975	0.021572	2.059629	8.131000	35.000000	97.723579
0.108292	0.101667	0.014000	0.018333	4.326257	0.262625	0.213051	0.227708	0.203633	0.218828	0.204359	0.211649	0.195291	0.211706	0.209771	0.209041	0.202858	0.202258	0.195822	0.205474	0.205345	0.199497	0.231157	0.327100	0.370396	0.082088	0.182975	0.021571	2.059629	8.124000	35.000000	97.764229
0.111800	0.100667	0.014000	0.018667	4.326252	0.262625	0.213051	0.227709	0.203633	0.218829	0.204359	0.211650	0.195291	0.211706	0.209771	0.209041	0.202858	0.202258	0.195822	0.205475	0.205345	0.199497	0.231157	0.327100	0.370397	0.082088	0.182975	0.021571	2.059629	8.146000	35.000000	97.723579
0.115175	0.101333	0.014000	0.018333	4.326243	0.262625	0.213051	0.227709	0.203633	0.218830	0.204359	0.211650	0.195290	0.211706	0.209771	0.209041	0.202858	0.202259	0.195822	0.205475	0.205345	0.199497	0.231157	0.327099	0.370398	0.082089	0.182975	0.021569	2.059629	8.160000	35.000000	97.723579
0.118692	0.100667	0.013667	0.018333	4.326239	0.262625	0.213051	0.227709	0.203632	0.218830	0.204360	0.211650	0.195290	0.211707	0.209771	0.209041	0.202858	0.202259	0.195822	0.205475	0.205346	0.199497	0.231157	0.327098	0.370399	0.082089	0.182975	0.021568	2.059629	8.181000	35.000000	97.804878
0.122975	0.100667	0.013667	0.018000	4.326229	0.262625	0.213050	0.227709	0.203632	0.218830	0.204360	0.211651	0.195290	0.211707	0.209771	0.209041	0.202859	0.202260	0.195822	0.205476	0.205346	0.199497	0.231158	0.327098	0.370399	0.082089	0.182975	0.021568	2.059628	8.160999	35.000000	97.764229
0.126617	0.101000	0.014000	0.018000	4.326224	0.262625	0.213050	0.227710	0.203632	0.218830	0.204360	0.211651	0.195290	0.211707	0.209771	0.209042	0.202859	0.202261	0.195823	0.205476	0.205346	0.199497	0.231158	0.327098	0.370400	0.082089	0.182975	0.021567	2.059628	8.120000	35.000000	97.723579
0.130125	0.101000	0.014000	0.018167	4.326224	0.262625	0.213050	0.227711	0.203632	0.218830	0.204360	0.211652	0.195290	0.211707	0.209771	0.209042	0.202860	0.202261	0.195823	0.205476	0.205346	0.199497	0.231158	0.327098	0.370401	0.082089	0.182975	0.021567	2.059628	8.106000	35.000000	97.723579
0.133633	0.101000	0.013667	0.018500	4.326224	0.262625	0.213050	0.227711	0.203632	0.218831	0.204360	0.211653	0.195290	0.211707	0.209771	0.209042	0.202860	0.202262	0.195823	0.205476	0.205346	0.199497	0.231159	0.327097	0.370401	0.082090	0.182975	0.021568	2.059628	8.114000	35.000000	97.723579
0.137150	0.100667	0.014167	0.018167	4.326225	0.262626	0.213050	0.227712	0.203632	0.218831	0.204360	0.211654	0.195290	0.211708	0.209771	0.209042	0.202860	0.202262	0.195823	0.205476	0.205346	0.199497	0.231159	0.327097	0.370402	0.082090	0.182975	0.021568	2.059627	8.146999	35.000000	97.743904
0.140525	0.101333	0.013667	0.018333	4.326232	0.262626	0.213050	0.227713	0.203633	0.218832	0.204360	0.211655	0.195290	0.211708	0.209771	0.209043	0.202861	0.202264	0.195823	0.205476	0.205347	0.199497	0.231159	0.327097	0.370401	0.082090	0.182975	0.021568	2.059627	8.180000	35.000000	97.764229
0.144167	0.101333	0.013667	0.017833	4.326239	0.262627	0.213050	0.227714	0.203633	0.218832	0.204360	0.211655	0.195290	0.211709	0.209771	0.209044	0.202861	0.202264	0.195824	0.205477	0.205347	0.199497	0.231159	0.327097	0.370401	0.082090	0.182975	0.021569	2.059627	8.170000	35.000000	97.743904
