[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.259419	0.098583	0.010958	0.019417	3.222314	0.255606	0.212901	0.227805	0.202571	0.217075	0.203176	0.210115	0.194028	0.210389	0.208794	0.208011	0.201773	0.201037	0.194393	0.203927	0.203860	0.196398	0.225586	0.303653	0.336323	0.079439	0.177168	0.037506
0.273619	0.098667	0.011167	0.019375	3.222718	0.255677	0.212847	0.227855	0.202566	0.217092	0.203152	0.210104	0.194024	0.210381	0.208790	0.208008	0.201772	0.201035	0.194390	0.203927	0.203858	0.196403	0.225592	0.303684	0.336340	0.079441	0.177165	0.037564
0.288344	0.098625	0.011042	0.019667	3.222714	0.255511	0.212739	0.227765	0.202524	0.217095	0.203133	0.210096	0.194020	0.210375	0.208787	0.208005	0.201772	0.201032	0.194388	0.203928	0.203859	0.196407	0.225589	0.303700	0.336346	0.079442	0.177162	0.037633
0.303002	0.098542	0.010917	0.019750	3.222025	0.255225	0.212553	0.227588	0.202450	0.217050	0.203119	0.210088	0.194010	0.210368	0.208783	0.208000	0.201770	0.201029	0.194385	0.203926	0.203860	0.196407	0.225576	0.303667	0.336313	0.079442	0.177158	0.037707
0.317235	0.098708	0.011000	0.019750	3.221049	0.255108	0.212390	0.227513	0.202405	0.217017	0.203106	0.210078	0.194003	0.210364	0.208778	0.207995	0.201765	0.201026	0.194382	0.203924	0.203859	0.196403	0.225575	0.303639	0.336290	0.079442	0.177155	0.037770
0.332183	0.098667	0.011000	0.019833	3.220596	0.255128	0.212258	0.227519	0.202382	0.217023	0.203091	0.210070	0.194000	0.210359	0.208776	0.207991	0.201760	0.201025	0.194378	0.203923	0.203860	0.196404	0.225585	0.303627	0.336291	0.079441	0.177149	0.037829
0.346585	0.098583	0.011167	0.019958	3.219984	0.254992	0.212124	0.227368	0.202346	0.217006	0.203080	0.210063	0.194000	0.210358	0.208775	0.207988	0.201756	0.201025	0.194376	0.203925	0.203857	0.196410	0.225588	0.303619	0.336297	0.079441	0.177143	0.037876
0.360981	0.098708	0.010917	0.019708	3.219534	0.254711	0.212002	0.227187	0.202341	0.216978	0.203078	0.210060	0.194000	0.210359	0.208773	0.207985	0.201756	0.201026	0.194373	0.203927	0.203851	0.196417	0.225581	0.303607	0.336296	0.079440	0.177136	0.037915
0.375802	0.098667	0.011167	0.019417	3.219265	0.254505	0.212042	0.227123	0.202361	0.216962	0.203079	0.210060	0.194001	0.210361	0.208773	0.207986	0.201758	0.201028	0.194373	0.203929	0.203848	0.196418	0.225577	0.303588	0.336293	0.079440	0.177130	0.037945
0.390229	0.098542	0.011250	0.019500	3.219443	0.254573	0.212191	0.227193	0.202450	0.216961	0.203085	0.210062	0.194002	0.210363	0.208776	0.207989	0.201761	0.201029	0.194374	0.203930	0.203850	0.196416	0.225577	0.303575	0.336290	0.079440	0.177124	0.037968
0.404792	0.098708	0.010917	0.019583	3.219761	0.254822	0.212324	0.227313	0.202561	0.216977	0.203095	0.210064	0.194003	0.210365	0.208778	0.207993	0.201762	0.201031	0.194376	0.203931	0.203853	0.196410	0.225585	0.303575	0.336292	0.079440	0.177120	0.037986
0.419383	0.098583	0.011292	0.019375	3.220005	0.255005	0.212459	0.227420	0.202719	0.217002	0.203111	0.210066	0.194006	0.210371	0.208780	0.207996	0.201763	0.201032	0.194377	0.203934	0.203860	0.196404	0.225592	0.303586	0.336301	0.079441	0.177120	0.037997
0.443046	0.098583	0.011083	0.019375	3.219808	0.255104	0.212385	0.227444	0.202729	0.217000	0.203106	0.210063	0.194010	0.210372	0.208780	0.207997	0.201763	0.201034	0.194378	0.203936	0.203865	0.196395	0.225599	0.303568	0.336342	0.079441	0.177124	0.038005
