[Method]
[General]
Identifier: 	Carrier1mMNaCl pH7 08122013
0.056158	0.100667	0.015500	0.292167	4.346036	0.264016	0.213813	0.229329	0.203978	0.219243	0.204417	0.211731	0.195341	0.211770	0.209791	0.209068	0.202881	0.202289	0.195900	0.205547	0.205438	0.199718	0.231944	0.323564	0.373775	0.083997	0.184146	-0.005470	2.059683	2.344000	35.000000	97.743904
0.059667	0.101000	0.015500	0.295667	4.346003	0.264019	0.213812	0.229327	0.203981	0.219241	0.204419	0.211731	0.195341	0.211770	0.209792	0.209069	0.202881	0.202289	0.195900	0.205547	0.205438	0.199718	0.231941	0.323564	0.373765	0.084000	0.184142	-0.005450	2.059683	2.299000	35.000000	97.764229
0.063958	0.100667	0.015667	0.300667	4.345937	0.264025	0.213811	0.229325	0.203983	0.219241	0.204421	0.211731	0.195343	0.211771	0.209792	0.209069	0.202881	0.202289	0.195901	0.205548	0.205439	0.199718	0.231940	0.323565	0.373760	0.084005	0.184118	-0.005351	2.059683	2.226000	35.000000	97.723579
0.067467	0.100333	0.015667	0.304333	4.345903	0.264027	0.213810	0.229323	0.203986	0.219239	0.204422	0.211731	0.195344	0.211771	0.209791	0.209069	0.202881	0.202289	0.195901	0.205548	0.205439	0.199718	0.231935	0.323566	0.373756	0.084007	0.184104	-0.005248	2.059683	2.166000	35.000000	97.845528
0.070975	0.100333	0.015667	0.308667	4.345832	0.264026	0.213808	0.229319	0.203986	0.219238	0.204423	0.211731	0.195344	0.211771	0.209791	0.209069	0.202882	0.202289	0.195901	0.205548	0.205439	0.199718	0.231934	0.323566	0.373747	0.084012	0.184087	-0.004940	2.059683	2.142000	35.000000	97.804878
0.074617	0.100167	0.015667	0.311833	4.345796	0.264025	0.213807	0.229318	0.203987	0.219237	0.204423	0.211731	0.195344	0.211771	0.209790	0.209068	0.202882	0.202289	0.195901	0.205548	0.205438	0.199717	0.231930	0.323566	0.373744	0.084014	0.184045	-0.004739	2.059683	2.099000	35.000000	97.723579
0.078133	0.100167	0.015667	0.316333	4.345726	0.264023	0.213806	0.229315	0.203988	0.219235	0.204424	0.211731	0.195345	0.211770	0.209790	0.209068	0.202882	0.202290	0.195902	0.205548	0.205438	0.199717	0.231928	0.323567	0.373740	0.084018	0.184021	-0.004245	2.059683	2.066000	35.000000	97.764229
0.081633	0.100000	0.015667	0.320833	4.345694	0.264021	0.213804	0.229312	0.203989	0.219234	0.204424	0.211730	0.195345	0.211770	0.209789	0.209067	0.202882	0.202290	0.195902	0.205548	0.205437	0.199717	0.231926	0.323568	0.373733	0.084023	0.183964	-0.003958	2.059683	1.999000	35.000000	97.723579
0.085925	0.100000	0.015667	0.325667	4.345603	0.264015	0.213800	0.229306	0.203989	0.219230	0.204424	0.211729	0.195345	0.211769	0.209788	0.209067	0.202883	0.202289	0.195903	0.205548	0.205436	0.199717	0.231922	0.323569	0.373725	0.084030	0.183917	-0.003143	2.059683	1.959000	35.000000	97.825203
0.089442	0.100000	0.015667	0.329167	4.345577	0.264012	0.213799	0.229305	0.203989	0.219228	0.204424	0.211729	0.195345	0.211769	0.209787	0.209067	0.202883	0.202289	0.195903	0.205549	0.205436	0.199717	0.231920	0.323570	0.373723	0.084035	0.183866	-0.002788	2.059683	1.920000	35.000000	97.764229
0.092950	0.100000	0.015667	0.332000	4.345529	0.264008	0.213799	0.229304	0.203990	0.219228	0.204424	0.211728	0.195345	0.211769	0.209787	0.209067	0.202883	0.202290	0.195903	0.205549	0.205435	0.199717	0.231919	0.323571	0.373721	0.084039	0.183813	-0.002228	2.059683	1.893000	35.000000	97.743904
0.096325	0.100000	0.015833	0.335833	4.345510	0.264006	0.213799	0.229303	0.203991	0.219228	0.204425	0.211728	0.195345	0.211769	0.209786	0.209067	0.202883	0.202290	0.195904	0.205550	0.205435	0.199717	0.231918	0.323573	0.373718	0.084045	0.183756	-0.001654	2.059683	1.854000	35.000000	97.723579
0.099967	0.100000	0.015667	0.339667	4.345491	0.264004	0.213799	0.229303	0.203992	0.219228	0.204425	0.211728	0.195345	0.211769	0.209786	0.209067	0.202884	0.202290	0.195904	0.205550	0.205434	0.199717	0.231917	0.323574	0.373718	0.084051	0.183698	-0.001061	2.059683	1.798000	35.000000	97.723579
0.103475	0.099667	0.015667	0.343667	4.345459	0.264003	0.213799	0.229303	0.203994	0.219228	0.204427	0.211728	0.195345	0.211769	0.209786	0.209067	0.202884	0.202290	0.195905	0.205550	0.205433	0.199717	0.231916	0.323575	0.373716	0.084057	0.183659	-0.000461	2.059683	1.780000	35.000000	97.743904
0.106992	0.099667	0.015667	0.346000	4.345448	0.264003	0.213801	0.229304	0.203995	0.219228	0.204427	0.211728	0.195346	0.211769	0.209786	0.209067	0.202885	0.202290	0.195906	0.205551	0.205433	0.199717	0.231915	0.323577	0.373716	0.084063	0.183598	-0.000058	2.059683	1.742000	35.000000	97.743904
0.111408	0.099667	0.015667	0.349333	4.345432	0.264000	0.213806	0.229306	0.203999	0.219230	0.204428	0.211728	0.195346	0.211769	0.209786	0.209067	0.202885	0.202290	0.195906	0.205551	0.205433	0.199718	0.231915	0.323581	0.373716	0.084068	0.183518	0.000952	2.059683	1.706000	35.000000	97.764229
0.114792	0.100000	0.015667	0.353000	4.345425	0.263999	0.213817	0.229307	0.204000	0.219232	0.204429	0.211728	0.195347	0.211769	0.209786	0.209067	0.202885	0.202290	0.195906	0.205550	0.205432	0.199718	0.231914	0.323582	0.373715	0.084075	0.183437	0.001355	2.059683	1.674000	35.000000	97.764229
0.118300	0.099667	0.015333	0.356667	4.345420	0.263997	0.213823	0.229307	0.204001	0.219233	0.204430	0.211727	0.195347	0.211769	0.209786	0.209067	0.202885	0.202290	0.195907	0.205550	0.205432	0.199718	0.231913	0.323582	0.373715	0.084079	0.183397	0.002154	2.059683	1.644000	35.000000	97.845528
