0.144183	0.101667	0.014167	0.018667	5.073330	0.280202	0.218221	0.235586	0.205525	0.221508	0.205335	0.212399	0.195871	0.212222	0.210031	0.209246	0.203024	0.202388	0.196004	0.205775	0.205729	0.199745	0.233591	0.335357	0.419916	0.082194	0.184462	0.029898	2.059892	13.670000	35.000000	97.926826
0.147683	0.101667	0.014333	0.018500	5.073206	0.280182	0.218199	0.235596	0.205488	0.221503	0.205321	0.212395	0.195869	0.212219	0.210030	0.209245	0.203022	0.202388	0.196005	0.205777	0.205729	0.199745	0.233593	0.335361	0.419942	0.082194	0.184463	0.029886	2.059892	13.657000	35.000000	97.642273
0.151975	0.101667	0.014333	0.018667	5.072911	0.280227	0.218191	0.235645	0.205457	0.221490	0.205303	0.212387	0.195864	0.212216	0.210028	0.209244	0.203020	0.202390	0.196007	0.205778	0.205728	0.199745	0.233596	0.335366	0.419970	0.082194	0.184463	0.029877	2.059892	13.631001	35.000000	97.723579
0.155492	0.101667	0.014333	0.018667	5.072722	0.280221	0.218166	0.235681	0.205424	0.221478	0.205296	0.212382	0.195861	0.212216	0.210025	0.209244	0.203019	0.202391	0.196009	0.205778	0.205728	0.199744	0.233596	0.335370	0.419974	0.082195	0.184463	0.029869	2.059892	13.618999	35.000000	97.723579
0.159000	0.101667	0.014500	0.018500	5.072682	0.280178	0.218135	0.235685	0.205413	0.221475	0.205292	0.212381	0.195860	0.212215	0.210025	0.209242	0.203018	0.202392	0.196010	0.205778	0.205728	0.199743	0.233597	0.335370	0.419980	0.082195	0.184464	0.029862	2.059892	13.646000	35.000000	97.764229
0.162375	0.101833	0.014167	0.018667	5.072526	0.280148	0.218112	0.235770	0.205382	0.221463	0.205284	0.212380	0.195855	0.212215	0.210024	0.209242	0.203017	0.202393	0.196013	0.205778	0.205727	0.199741	0.233597	0.335367	0.419989	0.082195	0.184464	0.029854	2.059892	13.672000	35.000000	97.784554
0.165892	0.101833	0.014500	0.018500	5.072486	0.280119	0.218080	0.235800	0.205365	0.221458	0.205281	0.212378	0.195853	0.212214	0.210023	0.209240	0.203016	0.202394	0.196015	0.205777	0.205727	0.199737	0.233598	0.335366	0.419992	0.082195	0.184465	0.029847	2.059892	13.672000	35.000000	97.723572
0.169525	0.101667	0.014000	0.018500	5.072486	0.280072	0.218056	0.235829	0.205351	0.221452	0.205275	0.212375	0.195847	0.212212	0.210022	0.209238	0.203016	0.202394	0.196016	0.205776	0.205727	0.199735	0.233598	0.335366	0.420002	0.082195	0.184465	0.029843	2.059892	13.653000	35.000000	97.662598
0.173042	0.101333	0.014000	0.018667	5.072492	0.280069	0.218039	0.235883	0.205329	0.221441	0.205266	0.212370	0.195843	0.212210	0.210021	0.209237	0.203015	0.202394	0.196016	0.205775	0.205726	0.199733	0.233598	0.335367	0.420006	0.082196	0.184465	0.029837	2.059892	13.640000	35.000000	97.682930
0.177458	0.101333	0.014000	0.018667	5.072671	0.280119	0.218014	0.235981	0.205321	0.221443	0.205262	0.212368	0.195840	0.212209	0.210019	0.209236	0.203015	0.202395	0.196016	0.205774	0.205725	0.199733	0.233601	0.335369	0.420015	0.082195	0.184466	0.029829	2.059891	13.622000	35.000000	97.886177
